Regions,Gender,Age_group,Deaths
Atlantic Region,Male,0 to 19 years,10015
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,9732
Atlantic Region,Male,0 to 19 years,283
Atlantic Region,Male,0 to 19 years,13
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,10
Atlantic Region,Male,0 to 19 years,3
Atlantic Region,Male,0 to 19 years,105
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,65
Atlantic Region,Male,0 to 19 years,40
Atlantic Region,Male,0 to 19 years,5774
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,5534
Atlantic Region,Male,0 to 19 years,240
Atlantic Region,Male,0 to 19 years,4123
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,4123
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,3184
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,2976
Atlantic Region,Male,0 to 19 years,208
Atlantic Region,Male,0 to 19 years,3
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,3
Atlantic Region,Male,0 to 19 years,41
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,6
Atlantic Region,Male,0 to 19 years,35
Atlantic Region,Male,0 to 19 years,1986
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,1816
Atlantic Region,Male,0 to 19 years,170
Atlantic Region,Male,0 to 19 years,1154
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,1154
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,36
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,35
Atlantic Region,Male,0 to 19 years,1
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,36
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,35
Atlantic Region,Male,0 to 19 years,1
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,6795
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,6721
Atlantic Region,Male,0 to 19 years,74
Atlantic Region,Male,0 to 19 years,10
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,10
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,64
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,59
Atlantic Region,Male,0 to 19 years,5
Atlantic Region,Male,0 to 19 years,3752
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,3683
Atlantic Region,Male,0 to 19 years,69
Atlantic Region,Male,0 to 19 years,2969
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,0 to 19 years,2969
Atlantic Region,Male,0 to 19 years,0
Atlantic Region,Male,20 to 29 years,9139
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,8650
Atlantic Region,Male,20 to 29 years,489
Atlantic Region,Male,20 to 29 years,13
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,10
Atlantic Region,Male,20 to 29 years,3
Atlantic Region,Male,20 to 29 years,22
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,19
Atlantic Region,Male,20 to 29 years,3
Atlantic Region,Male,20 to 29 years,5648
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,5165
Atlantic Region,Male,20 to 29 years,483
Atlantic Region,Male,20 to 29 years,3456
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,3456
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,3004
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,2558
Atlantic Region,Male,20 to 29 years,446
Atlantic Region,Male,20 to 29 years,9
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,7
Atlantic Region,Male,20 to 29 years,2
Atlantic Region,Male,20 to 29 years,17
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,14
Atlantic Region,Male,20 to 29 years,3
Atlantic Region,Male,20 to 29 years,2100
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,1659
Atlantic Region,Male,20 to 29 years,441
Atlantic Region,Male,20 to 29 years,878
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,878
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,103
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,102
Atlantic Region,Male,20 to 29 years,1
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,103
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,102
Atlantic Region,Male,20 to 29 years,1
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,6032
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,5990
Atlantic Region,Male,20 to 29 years,42
Atlantic Region,Male,20 to 29 years,4
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,3
Atlantic Region,Male,20 to 29 years,1
Atlantic Region,Male,20 to 29 years,5
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,5
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,3445
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,3404
Atlantic Region,Male,20 to 29 years,41
Atlantic Region,Male,20 to 29 years,2578
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,20 to 29 years,2578
Atlantic Region,Male,20 to 29 years,0
Atlantic Region,Male,30 to 39 years,8744
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,8085
Atlantic Region,Male,30 to 39 years,659
Atlantic Region,Male,30 to 39 years,16
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,13
Atlantic Region,Male,30 to 39 years,3
Atlantic Region,Male,30 to 39 years,43
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,40
Atlantic Region,Male,30 to 39 years,3
Atlantic Region,Male,30 to 39 years,5015
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,4362
Atlantic Region,Male,30 to 39 years,653
Atlantic Region,Male,30 to 39 years,3670
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,3670
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,2860
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,2237
Atlantic Region,Male,30 to 39 years,623
Atlantic Region,Male,30 to 39 years,7
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,4
Atlantic Region,Male,30 to 39 years,3
Atlantic Region,Male,30 to 39 years,22
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,19
Atlantic Region,Male,30 to 39 years,3
Atlantic Region,Male,30 to 39 years,1780
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,1163
Atlantic Region,Male,30 to 39 years,617
Atlantic Region,Male,30 to 39 years,1051
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,1051
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,94
Atlantic Region,Male,30 to 39 years,0
Atlantic Region,Male,30 to 39 years,93
Atlantic Region,Male,30 to 39 years,1
